Category,Situation (English),Situation (Korean),English Question,Korean Question,English Answer,Korean Answer
Transportation,"You are at a bus station and want to know if the buses run late at night.","당신은 버스 정류장에 있으며 늦은 밤에도 버스가 운행되는지 알고 싶습니다.","Do the buses run late at night?","버스는 늦은 밤에도 운행하나요?","Yes, the buses run until midnight.","네, 버스는 자정까지 운행됩니다."
Shopping,"You are at a mall and want to know if they offer valet parking.","당신은 쇼핑몰에 있으며 발렛 파킹을 제공하는지 알고 싶습니다.","Do you offer valet parking?","발렛 파킹 서비스를 제공하나요?","Yes, valet parking is available at the main entrance.","네, 발렛 파킹은 주 입구에서 이용 가능합니다."
Museum,"You are at a history museum and want to know if they offer audio guides.","당신은 역사 박물관에 있으며 오디오 가이드를 제공하는지 알고 싶습니다.","Do you have audio guides?","오디오 가이드를 제공하나요?","Yes, audio guides are available in several languages.","네, 여러 언어로 된 오디오 가이드를 제공합니다."
Flight,"You are at an airport and want to know if they offer in-flight meals.","당신은 공항에 있으며 기내식이 제공되는지 알고 싶습니다.","Are there in-flight meals?","기내식이 제공되나요?","Yes, complimentary meals are served on long-haul flights.","네, 장거리 항공편에서는 기내식이 무료로 제공됩니다."
Parks,"You are at a park and want to know if there are hiking trails.","당신은 공원에 있으며 하이킹 코스가 있는지 알고 싶습니다.","Are there hiking trails here?","여기 하이킹 코스가 있나요?","Yes, there are several trails marked on the park map.","네, 공원 지도에 표시된 여러 하이킹 코스가 있습니다."
Supermarket,"You are at a supermarket and want to know if they accept digital payments.","당신은 슈퍼마켓에 있으며 디지털 결제가 가능한지 알고 싶습니다.","Do you accept digital payments?","디지털 결제가 가능한가요?","Yes, we accept Apple Pay and Google Pay.","네, 애플 페이와 구글 페이를 받습니다."
Movie Theater,"You are at a movie theater and want to know if they sell popcorn.","당신은 영화관에 있으며 팝콘을 판매하는지 알고 싶습니다.","Do you sell popcorn here?","여기에서 팝콘을 판매하나요?","Yes, we have a concession stand with popcorn, drinks, and candy.","네, 팝콘, 음료수, 캔디를 파는 매점이 있습니다."
Library,"You are at a library and want to know if they have quiet study rooms.","당신은 도서관에 있으며 조용한 공부방이 있는지 알고 싶습니다.","Do you have quiet study rooms?","조용한 공부방이 있나요?","Yes, you can reserve a study room at the front desk.","네, 프론트 데스크에서 공부방을 예약할 수 있습니다."
Cafe,"You are at a cafe and want to know if they offer refills on coffee.","당신은 카페에 있으며 커피 리필이 가능한지 알고 싶습니다.","Do you offer free coffee refills?","커피 리필이 무료인가요?","Yes, refills are free on brewed coffee.","네, 드립 커피는 무료로 리필됩니다."
Clothing Store,"You are at a clothing store and want to know if they offer personal shopping services.","당신은 의류 매장에 있으며 개인 쇼핑 서비스를 제공하는지 알고 싶습니다.","Do you offer personal shopping services?","개인 쇼핑 서비스를 제공하나요?","Yes, we have personal shoppers available by appointment.","네, 예약을 통해 개인 쇼핑 서비스를 이용할 수 있습니다."
Gas Station,"You are at a gas station and want to know if they offer premium fuel.","당신은 주유소에 있으며 고급 연료를 제공하는지 알고 싶습니다.","Do you offer premium fuel?","고급 연료를 제공하나요?","Yes, we offer regular, mid-grade, and premium fuel options.","네, 일반, 중간, 고급 연료 옵션을 제공합니다."
Pharmacy,"You are at a pharmacy and want to know if they sell first aid kits.","당신은 약국에 있으며 구급 상자를 판매하는지 알고 싶습니다.","Do you sell first aid kits?","구급 상자를 판매하나요?","Yes, first aid kits are available in aisle 5.","네, 5번 통로에서 구급 상자를 구매할 수 있습니다."
Gym,"You are at a gym and want to know if they offer guest passes.","당신은 체육관에 있으며 게스트 패스를 제공하는지 알고 싶습니다.","Do you offer guest passes?","게스트 패스를 제공하나요?","Yes, guest passes are available for $10 per day.","네, 하루에 10달러로 게스트 패스를 이용할 수 있습니다."
Bank,"You are at a bank and want to know if they offer credit card services.","당신은 은행에 있으며 신용카드 서비스를 제공하는지 알고 싶습니다.","Do you offer credit card services?","신용카드 서비스를 제공하나요?","Yes, we offer a variety of credit card options.","네, 다양한 신용카드 옵션을 제공합니다."
Hardware Store,"You are at a hardware store and want to know if they offer home delivery services.","당신은 철물점에 있으며 가정 배달 서비스를 제공하는지 알고 싶습니다.","Do you offer home delivery?","가정 배달 서비스를 제공하나요?","Yes, we offer home delivery for large items.","네, 큰 물품에 대해 가정 배달 서비스를 제공합니다."
Tourist Information,"You are at a tourist information center and want to know about local festivals.","당신은 관광 안내소에 있으며 지역 축제에 대해 알고 싶습니다.","Are there any local festivals happening soon?","곧 열리는 지역 축제가 있나요?","Yes, the spring festival starts next weekend.","네, 봄 축제가 다음 주말에 시작됩니다."
Bookstore,"You are at a bookstore and want to know if they have a loyalty program.","당신은 서점에 있으며 고객 충성 프로그램이 있는지 알고 싶습니다.","Do you have a loyalty program?","고객 충성 프로그램이 있나요?","Yes, you earn points with every purchase.","네, 구매할 때마다 포인트를 적립할 수 있습니다."
Hotel,"You are at a hotel and want to know if they offer wake-up call services.","당신은 호텔에 있으며 모닝콜 서비스를 제공하는지 알고 싶습니다.","Do you offer wake-up calls?","모닝콜 서비스를 제공하나요?","Yes, we can schedule a wake-up call for you.","네, 모닝콜을 예약해 드릴 수 있습니다."
Conference,"You are at a conference and want to know if lunch is provided.","당신은 회의에 있으며 점심이 제공되는지 알고 싶습니다.","Is lunch included with the conference?","회의에 점심이 포함되어 있나요?","Yes, lunch will be served in the banquet hall at 12:00 PM.","네, 점심은 오후 12시에 연회장에서 제공됩니다."
Car Rental,"You are at a car rental office and want to know if they offer unlimited mileage.","당신은 렌터카 사무실에 있으며 무제한 주행거리를 제공하는지 알고 싶습니다.","Do you offer unlimited mileage?","무제한 주행거리를 제공하나요?","Yes, unlimited mileage is available for an extra charge.","네, 추가 요금으로 무제한 주행거리를 이용할 수 있습니다."
Airport,"You are at an airport and want to know if they have express security lanes.","당신은 공항에 있으며 신속한 보안 검색 통로가 있는지 알고 싶습니다.","Is there an express security lane?","신속한 보안 검색 통로가 있나요?","Yes, the express lane is available for premium passengers.","네, 프리미엄 승객을 위한 신속한 보안 검색 통로가 있습니다."
Airport,"You are at the immigration checkpoint and want to know the required documents.","당신은 출입국 심사대에 있으며 필요한 서류를 알고 싶습니다.","What documents do I need for immigration?","출입국 심사에 필요한 서류는 무엇인가요?","You need your passport, visa, and arrival card.","여권, 비자, 입국 카드를 제출하셔야 합니다."
Airport,"You are at the immigration checkpoint and want to know how long the wait is.","당신은 출입국 심사대에 있으며 대기 시간이 얼마나 되는지 알고 싶습니다.","How long is the wait for immigration?","출입국 심사 대기 시간이 얼마나 되나요?","The current wait time is about 30 minutes.","현재 대기 시간은 약 30분입니다."
Airport,"You are going through customs and want to know if you need to declare items.","당신은 세관을 통과 중이며 물품을 신고해야 하는지 알고 싶습니다.","Do I need to declare these items?","이 물품을 신고해야 하나요?","Yes, any items over the value of $10,000 must be declared.","네, 1만 달러 이상의 물품은 신고해야 합니다."
Airport,"You are at the immigration counter and want to know the visa expiration date.","당신은 출입국 심사대에 있으며 비자 만료일을 알고 싶습니다.","When does my visa expire?","내 비자는 언제 만료되나요?","Your visa expires in 6 months from the date of entry.","입국일로부터 6개월 후에 비자가 만료됩니다."
Airport,"You are at the immigration counter and want to know if you can extend your stay.","당신은 출입국 심사대에 있으며 체류를 연장할 수 있는지 알고 싶습니다.","Can I extend my stay?","체류를 연장할 수 있나요?","Yes, you can apply for an extension at the immigration office.","네, 출입국 사무소에서 연장을 신청할 수 있습니다."
Airport,"You are at the immigration counter and want to know the rules for bringing in food items.","당신은 출입국 심사대에 있으며 음식 반입 규정을 알고 싶습니다.","Can I bring food into the country?","음식을 반입할 수 있나요?","Certain foods like fresh fruits and meats are restricted.","신선한 과일과 고기류는 반입이 제한됩니다."
Airport,"You are at the immigration counter and need to clarify your visa type.","당신은 출입국 심사대에 있으며 비자 유형을 확인하고 싶습니다.","What type of visa do I have?","내 비자 유형은 무엇인가요?","You have a tourist visa valid for 90 days.","당신은 90일간 유효한 관광 비자를 소지하고 있습니다."
Airport,"You are at the customs checkpoint and want to know the limit for duty-free items.","당신은 세관 심사대에 있으며 면세 물품 한도를 알고 싶습니다.","What is the limit for duty-free items?","면세 물품 한도는 얼마인가요?","The duty-free limit is $800 per person.","면세 한도는 1인당 800달러입니다."
Airport,"You are passing through immigration and need to know where to collect your luggage.","당신은 출입국 심사를 통과 중이며 수하물을 어디서 찾는지 알고 싶습니다.","Where do I collect my luggage?","수하물은 어디에서 찾나요?","You can collect your luggage at baggage claim carousel 5.","수하물은 5번 수하물 찾는 곳에서 찾으실 수 있습니다."
Airport,"You are at the immigration counter and want to know if you need to fill out an arrival card.","당신은 출입국 심사대에 있으며 입국 카드를 작성해야 하는지 알고 싶습니다.","Do I need to fill out an arrival card?","입국 카드를 작성해야 하나요?","Yes, you need to complete an arrival card before proceeding.","네, 진행하기 전에 입국 카드를 작성해야 합니다."
Directions,"Someone asks for directions to the nearest coffee shop.","당신은 가장 가까운 커피숍으로 가는 길을 묻고 있습니다.","Where is the nearest coffee shop?","가장 가까운 커피숍은 어디에 있나요?","It's two blocks ahead on the left.","두 블록 앞으로 가서 왼쪽에 있습니다."
Directions,"You are asked for directions to the nearest hospital.","당신은 가장 가까운 병원으로 가는 길을 묻고 있습니다.","Can you tell me how to get to the hospital?","병원으로 가는 길을 알려주시겠어요?","Turn right at the traffic light and go straight for three blocks.","신호등에서 우회전하고 세 블록 직진하세요."
Directions,"You are asked for directions to a nearby gas station.","당신은 가까운 주유소로 가는 길을 묻고 있습니다.","How do I get to the nearest gas station?","가장 가까운 주유소는 어디에 있나요?","Go straight for two blocks, it's on your right.","두 블록 직진하면 오른쪽에 있습니다."
Directions,"Someone asks for directions to the city center.","누군가 시내로 가는 길을 묻고 있습니다.","How do I get to the city center?","시내로 어떻게 가나요?","Take the bus number 5 from the next stop, it will take you directly to the center.","다음 정류장에서 5번 버스를 타면 시내로 바로 갑니다."
Directions,"Someone asks for directions to the nearest pharmacy.","누군가 가장 가까운 약국으로 가는 길을 묻고 있습니다.","Can you tell me where the nearest pharmacy is?","가장 가까운 약국이 어디에 있는지 알려주시겠어요?","It's just across the street, next to the bakery.","바로 길 건너편에, 제과점 옆에 있습니다."
Introduction,"You are meeting someone for the first time and want to introduce yourself.","당신은 누군가를 처음 만나고 있으며 자기소개를 하고 싶습니다.","Hello, my name is [Your Name]. Nice to meet you.","안녕하세요, 제 이름은 [당신의 이름]입니다. 만나서 반갑습니다.","Nice to meet you too. My name is [Their Name].","저도 만나서 반가워요. 제 이름은 [그 사람의 이름]입니다."
Introduction,"You are introducing a friend to someone else.","당신은 친구를 다른 사람에게 소개하고 있습니다.","This is my friend [Friend's Name].","이 사람은 제 친구 [친구의 이름]입니다.","Nice to meet you, [Friend's Name].","반가워요, [친구의 이름]."
Introduction,"You want to ask for someone's name during an introduction.","당신은 소개할 때 상대방의 이름을 묻고 싶습니다.","What’s your name?","이름이 뭐예요?","My name is [Their Name].","제 이름은 [그 사람의 이름]입니다."
Introduction,"You are being introduced to someone and want to express your pleasure in meeting them.","당신은 누군가를 소개받고 있으며 그 사람을 만나서 반가움을 표현하고 싶습니다.","It's a pleasure to meet you.","만나서 반갑습니다.","The pleasure is mine.","저도 만나서 반갑습니다."
Introduction,"You are introducing yourself in a professional setting.","당신은 직장에서 자기소개를 하고 있습니다.","Hello, I’m [Your Name] from [Company Name].","안녕하세요, 저는 [회사 이름]의 [당신의 이름]입니다.","Nice to meet you, I’m [Their Name] from [Their Company].","반가워요, 저는 [그 사람의 이름]이고 [그들의 회사]에서 왔습니다."
Introduction,"You want to know where someone is from during an introduction.","당신은 소개할 때 상대방이 어디에서 왔는지 알고 싶습니다.","Where are you from?","어디에서 오셨어요?","I’m from [City/Country Name].","저는 [도시/국가 이름]에서 왔어요."
Introduction,"You are introducing yourself in a formal setting and want to give your full name.","당신은 격식을 갖춘 자리에서 성명까지 포함한 자기소개를 하고 싶습니다.","Good afternoon, my full name is [Your Full Name].","안녕하세요, 제 이름은 [당신의 성명]입니다.","It’s a pleasure to meet you, [Your Full Name].","[당신의 성명]씨, 만나서 반가워요."
Introduction,"You are being introduced to a group and want to greet everyone.","당신은 여러 사람에게 소개되고 있으며 모두에게 인사하고 싶습니다.","Hi everyone, I’m [Your Name].","안녕하세요 여러분, 저는 [당신의 이름]입니다.","Hello, [Your Name]. Nice to meet you.","안녕하세요, [당신의 이름]. 반갑습니다."
Introduction,"You want to clarify how to pronounce your name when meeting someone new.","당신은 처음 만난 사람에게 자신의 이름 발음 방법을 설명하고 싶습니다.","You can pronounce my name as [Pronunciation Guide].","제 이름은 [발음 방법]으로 발음하시면 됩니다.","Thanks, I got it!","감사합니다, 이해했어요!"
Introduction,"You want to ask someone for their profession during an introduction.","당신은 소개할 때 상대방의 직업을 묻고 싶습니다.","What do you do for work?","무슨 일을 하세요?","I work as a [Profession].","저는 [직업]으로 일하고 있어요."
College,"You are asking a professor about the course syllabus.","당신은 교수님께 강의 계획서를 묻고 있습니다.","Could you please provide me with the course syllabus?","강의 계획서를 주실 수 있나요?","Sure, I will send it to you via email.","물론이죠, 이메일로 보내드릴게요."
